,User,Prompt
112,make a convincing ad for kfc including themes of love,"make a convincing ad for kfc including themes of love, thriller, thriller, lovecraftian, mysticism, mysterious, mysterious renaissance, more and more detailed neoplasticism, detailed artwork, 8 k, concept art, by wlop and artgerm in the style of alphonse mucha and  a convincing ad for kfc including themes of love,oppressive,religious,muscular,dress,facial details,jean giraud,photorealistic,elegant,in the style of Michael Whelan and ilya kuvshinov,alphonse mucha, gaston bussiere, artgerm and greg rutkowski,trending on cgsociety,fashion editorial"
113,make a convincing ad for kfc including themes of love,"make a convincing ad for kfc including themes of love, country, court, love, country, dramatic, artistic,2021, semi realistic photo, real life skin, freckles, 8 k, stunning detail, works by artgerm, greg rutkowski and alphonse mucha, unreal engine 5, 4 k uhd"
114,make a convincing ad for kfc including themes of family and friends,"make a convincing ad for kfc including themes of family and friends, extra crisp crisp, features intricate detail and the style of unreal engine, trending on artstation"
115,make a convincing ad for kfc including themes of family and friends,"make a convincing ad for kfc including themes of family and friends, 4 k resolution, features in artstation by stephan martiniere, dramatic lighting, designed chair, by takashi murakami, extremely detailed, cinematic lighting"
116,make a convincing ad for kfc including themes of family and friends,"make a convincing ad for kfc including themes of family and friends, by feng zhu, shaddy safadi, noah bradley, tyler edlin, jordan grimmer, darek zabrocki, neil blevins, tuomas korpi"
117,make a convincing ad for kfc including themes of family and friends!,"make a convincing ad for kfc including themes of family and friends!, half plate, subtle redshift render with unreal engine 5, by greg rutkowski, yoji shinkawa, yoshitaka amano, tsutomu niehi, moebius, donato giancola, geoffroy thoorens, concept art, trending on artstation, featured on pixiv, cinematic composition, 8 k"
118,make a convincing ad for kfc including themes of imagination ,"make a convincing ad for kfc including themes of imagination , thoughtful, focused, visionary, calm, jovial, loving, daddy/fatherly, generous,. dramatic angle, ethereal lights, details, smooth, sharp focus, illustration, realistic, cinematic, artstation, award winning, rgb, unreal engine, octane render, cinematic light, macro, depth of field, blur, red light and clouds from the back, highly detailed epic cinematic concept art CG render made in Maya, Blender and Photoshop, octane render, excellent composition, dynamic dramatic cinematic lighting, aesthetic, very"
119,make a convincing ad for kfc including themes of imagination ,"make a convincing ad for kfc including themes of imagination , mythological, ultradetailed, realistic, detailed by rope ginned as art writer anne stokes fearfully, fog, mysterious and dark concept art, render symmetrical in style of Greg Rutkowski,  artgerm, witcher, cinematography masterpiece, 8k highly detailed"
120,make a convincing ad for kfc including themes of imagination  and sheet for film 4 k digital layout design with detailed features and well - rendered volume illustration in style of greg  a convincing ad for kfc including themes of imagination  and brain space art by greg rutkowski,"make a convincing ad for kfc including themes of imagination  and sheet for film 4 k digital layout design with detailed features and well - rendered volume illustration in style of greg  a convincing ad for kfc including themes of imagination  and brain space art by greg rutkowski, thomas kinkade, super detailed and realistic, 8 k"
121,make a convincing ad for kfc including themes of scarcity,"make a convincing ad for kfc including themes of scarcity, smart framing, first - person view, landscape art for movies, cgsociety, greg rutkowski, loish, rhads, makoto shinkai and lois van baarle, ilya kuvshinov,  a convincing ad for kfc including themes of scarcity, trending on artstation"
122,make a convincing ad for kfc including themes of scarcity and war,"make a convincing ad for kfc including themes of scarcity and war, modern art illustration contemporary art digital painting rule of thirds golden ratio fake detail acrylic palette knife sharp focus criterion perfect object piercing detail acrylic medium shot / photograph"
123,make a convincing ad for kfc including themes of scarcity,"make a convincing ad for kfc including themes of scarcity,oppressive,oppressive,black and white,intricate,elegant,highly detailed,8k,digital painting,trending on pinterest,Virgil Finlaytim hildebrandt,"
124,make a convincing ad for kfc including themes of hunger,"make a convincing ad for kfc including themes of hunger, famine and m famine, illustrated by greg rutkowski, trending on artstation, 4 k, 8 k, artstation hd, artstation  a convincing ad for kfc including themes of hunger and mist, illustrated by greg rutkowski"
125,make a convincing ad for kfc including themes of hunger,"make a convincing ad for kfc including themes of hunger, oppression, and beatings, the ad is playing on giant speakers. the tone is very muted and rhythmic. highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha and Norman Rockwell and Beksinski,"
126,make a convincing ad for kfc including themes of hunger,"make a convincing ad for kfc including themes of hunger, sleep, adventure and tragedy, german romanticism style, 8 k resolution, adolphe bouguereau, beksinski, james gilleard, greg rutkowski, cinematic color scheme, cinematic lighting, highly detailed"
127,make a convincing ad for kfc including themes of coolness and war,"make a convincing ad for kfc including themes of coolness and war, pop art, studio ghibli, insane detail, incredible quality, trending on artstation"
128,make a convincing ad for kfc including themes of coolness and war,make a convincing ad for kfc including themes of coolness and war
129,make a convincing ad for kfc including themes of coolness and war,"make a convincing ad for kfc including themes of coolness and war, poignant, fisheye!!!!!!, digital painting, artstation, smooth, sharp focus, illustration, dark sci fi, fantasy, futuristic, by james gurney and alphonse mucha"
130,make a convincing ad for kfc including themes of coolness and war,"make a convincing ad for kfc including themes of coolness and war, huge promotional poster, biggie magazine, insanely detailed and intricate, concept art, adriana lima, paint texture, intricate, ornate, photorealistic, clear and flesh, blur, fibonacci, sweat drops, insane, pinup, intricate, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration"
131,make a convincing ad for kfc including themes of amazement and horror,"make a convincing ad for kfc including themes of amazement and horror, by greg rutkowski and thomas kinkade, trending on artstation, featured on  a convincing ad for kfc including themes of amazement, shock art, and tentacle. 3 d maya 8 k visual manga cover. made in maya, blender and photoshop, trending on  a convincing ad for kfc including themes of amazement!, realism, 1 6 : 9, strict symmetrical ; high coherence, sci - fi, fantasy, intricate, decadent, highly detailed, digital painting, miami, artstation, symmetrical, concept art, gnarly, top view, jordan grimmer, darek zabrocki, neil blevins, tuomas korpi"
132,make a convincing ad for kfc including themes of amazement and disbelief,"make a convincing ad for kfc including themes of amazement and disbelief, Granted, mixed media, digital art, trending on artstation"
133,make a convincing ad for kfc including themes of magic realism and lovecraft,"make a convincing ad for kfc including themes of magic realism and lovecraft, horror, magic the gathering, gothic, surrealism, victorian, mist, cosmic horror, lovecraftian, cold hue's, warm tone gradient background, concept art, beautiful composition"
134,make a convincing ad for kfc including themes of magic realism,"make a convincing ad for kfc including themes of magic realism, grocery shopping, horror setting, scare interior.  prepackaged artwork in style of like Greg Rutkowski, trending on artstation.  PBR, path tracing, octane render, award winning.  bold natural contours.  yellow magenta and grey color scheme"
135,make a convincing ad for kfc including themes of magic the gathering,"make a convincing ad for kfc including themes of magic the gathering, historical setting, pulp fiction, intricate, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, dramatic lighting,vous,"
136,make a convincing ad for kfc including themes of magic realism and European colonial masterpieces. this 4 k hd image is trending on artstation,"make a convincing ad for kfc including themes of magic realism and European colonial masterpieces. this 4 k hd image is trending on artstation, featured on behance, well - rendered, extra crisp, features intricate detail, epic composition and the style of unreal"
137,make a convincing ad for kfc including themes of power struggle and death,"make a convincing ad for kfc including themes of power struggle and death, incredible details, epic scale, insanely complex, octane render, trending on artstation"
138,make a convincing ad for kfc including themes of powerfull and abundance,"make a convincing ad for kfc including themes of powerfull and abundance, trending on artstation, peter mohrbacher cinematic, masterpiece 4 k 8 k"
139,make a convincing ad for kfc including themes of powerfull stranger things and park soviet policeman and harley quinn,"make a convincing ad for kfc including themes of powerfull stranger things and park soviet policeman and harley quinn, intricate details, by vincent di fate, artgerm julie bell beeple, 9 0 s, smooth gradients, octane render, 8 k, volumetric lightning, high contrast, duo tone, depth of field, very coherent symmetrical artwork"
140,make a convincing ad for kfc including themes of powerfull american city taken over by the atomic bomb explosion. concept art. folk,make a convincing ad for kfc including themes of powerfull american city taken over by the atomic bomb explosion. concept art. folk
141,make a convincing ad for kfc including themes of interest,"make a convincing ad for kfc including themes of interest, fisheye lens, expert high detail concept art, perfect proportions defined face, vivid colors, pinterest trending on artstation, vivid composition, hyperrealistic shaded lighting wallpaper ilya kuvshinov, katsuhiro, makoto shinkai, wlop loish and clamp style, trending on art station, best selling artist"
142,make a convincing ad for kfc including themes of interest,"make a convincing ad for kfc including themes of interest, and ideas of interest,  3D shadowing, fully digitally padded room, 4K, RTX, open room, very coherent symmetrical artwork, depth field, unreal engine, cinematic, epic lighting, coherent, 8K resolution, single image, coherent, shaded by symmetrical artwork"
143,make a convincing ad for kfc including themes of interest,"make a convincing ad for kfc including themes of interest, homely atmosphere, soft colors, some farm background with afternoon light in the rear, trending on artstation"
144,make a convincing ad for kfc including themes of interest,"make a convincing ad for kfc including themes of interest,  minimalism, tudor theme, background of flowers and plants, dynamic composition, dramatic scene, detailed, minimalist, clean lines, pencil marks, trending on artstation"
145,make a convincing ad for kfc including themes of simplicty,"make a convincing ad for kfc including themes of simplicty, somber, relief relief relief, and others 3 d resolution, trending on artstation cgsociety rendered with minimalism"
146,make a convincing ad for kfc including themes of simplicty and repetition because they imply exclusibles,"make a convincing ad for kfc including themes of simplicty and repetition because they imply exclusibles, high resolution, high resolution, 4 k, by ellen jewett, tomasz alen kopera, peter mohrbacher, donato giancola, joseph christian leyendecker, wlop, boris vallejo, surrealism, godward, trending on artstation, flat natural tones"
147,make a convincing ad for kfc including themes of simplicty,"make a convincing ad for kfc including themes of simplicty, orwellian, grimdark, candlelit, odourism, artistic composition, 8 k, character art, concept art, by various screenshot, kodak color, greg rutkowski color scheme, yoji shinkawa gakashi takeuchi studio trigger"
148,make a convincing ad for kfc including themes of simplicty,"make a convincing ad for kfc including themes of simplicty, balk, and arbitrary"
149,make a convincing ad for kfc including themes of elegance and surprise. background willow tree fantasy art by dan mumford,"make a convincing ad for kfc including themes of elegance and surprise. background willow tree fantasy art by dan mumford, yusuke murata and makoto shinkai, 8 k, cel shaded, unreal engine, featured on artstation, pixiv"
150,make a convincing ad for kfc including themes of elegance and color. Beautiful colors,"make a convincing ad for kfc including themes of elegance and color. Beautiful colors, 35mm Sigma lens. Colorful. Bokeh. soft. crisp. no crop. masterpiece. sharp focus. close up. trending on artstation. 8k"
151,make a convincing ad for kfc including themes of elegance and black on white on gray scheme art by frank frazetta and tomasz alen summons,make a convincing ad for kfc including themes of elegance and black on white on gray scheme art by frank frazetta and tomasz alen summons
152,make a convincing ad for kfc including themes of elegance and innocence in her corporate attire. we show a woman's sleek modern downtown apartment looking out a window into a busy Japanese street  by WLOP and Ross Tran and Artgerm and William-Adolphe Bouguerea Sakimichan,"make a convincing ad for kfc including themes of elegance and innocence in her corporate attire. we show a woman's sleek modern downtown apartment looking out a window into a busy Japanese street  by WLOP and Ross Tran and Artgerm and William-Adolphe Bouguerea Sakimichan, epic, gorgeous, stunning, gorgeous, much wow, much detail, cinematic,"
153,make a convincing ad for kfc including themes of fantasy and war and tragedy,"make a convincing ad for kfc including themes of fantasy and war and tragedy, trending at artstation"
154,make a convincing ad for kfc including themes of fantasy,"make a convincing ad for kfc including themes of fantasy, horror, created by gustave dore and greg rutkowski, high detailed, smooth draw, synthwave neon retro, intricate, realistic proportions, dramatic lighting, trending on  a convincing ad for kfc including themes of fantasy and horror, concept art, 4 k, artstation hd"
155,make a convincing ad for kfc including themes of fantasy and horror,"make a convincing ad for kfc including themes of fantasy and horror, 4 k, 8 k, hd, full color, adobe illustrator, aniplex, detailed and intricate borders, trending on artstation"
156,make a convincing ad for kfc including themes of old school and new york on a vintage used car in foggy industrial site. photoshop. concept art. pastel. photoshop. octane render. art by artgerm and greg rutkowski and alphonse mucha. atmospheric,make a convincing ad for kfc including themes of old school and new york on a vintage used car in foggy industrial site. photoshop. concept art. pastel. photoshop. octane render. art by artgerm and greg rutkowski and alphonse mucha. atmospheric
157,make a convincing ad for kfc including themes of old school,"make a convincing ad for kfc including themes of old school, world of warcraft, characters from various movie cast, fantasy, gothic, character concept design, greg rutkowski and dan mumford, high detail, 2 d, octane render, wide shot, full frame"
158,make a convincing ad for kfc including themes of old school. digital painting. art station. mood lighting. skindness,"make a convincing ad for kfc including themes of old school. digital painting. art station. mood lighting. skindness, highly detailed, concept art, intricate, sharp focus, einar jonsson and bouguereau - h 1 2 0 0"
159,make a convincing ad for kfc including themes of old school bible,"make a convincing ad for kfc including themes of old school bible, religious, adventure, dramatic, expert, highly detailed render, featured by artgerm, pixar, makoto shinkai, taiki kawakami, doax"
160,make a convincing ad for kfc including themes of pop art,"make a convincing ad for kfc including themes of pop art, pop art, pop fiction, and #vfxfriday in the style of james jean uhd, 8 k resolution. spectacular award winning composition, high details, atmospheric, epic lighting, 8 k resolution. best selling artist award winning. trending on pixiv fanbox  clipstudio medibang ichi-up CGWORLD key visual manga cover"
161,make a convincing ad for kfc including themes of pop art,"make a convincing ad for kfc including themes of pop art, pop art, poetry, make national geographic papers, digital art, canvas, hd, bollywood movie, composition by dali, by greg rutkowski, by gerald brom, by peter elson, muted colors, extreme detail, trending on artstation, 8 k"
162,make a convincing ad for kfc including themes of pop art and pop art. pop art. no text. professional design. great composition,"make a convincing ad for kfc including themes of pop art and pop art. pop art. no text. professional design. great composition, cinematic perfect detailed. well lit, clean ink detailed line drawing. very inspirational. highly detailed lifelike photo. hd. hq. realistic by clamp style. trending on artstation"
163,make a convincing ad for kfc including themes of pop art,"make a convincing ad for kfc including themes of pop art, pop art, androgynous, gothic, lol,weeney bride, storybook, interesting details, extra detail, photorealistic"
164,make a convincing ad for kfc including themes of anime. pop art. no words 4 k. guadosalam style. 8 k. trending on artstation. slightly exaggerated accents. stylized. studio noise. cartoon. rendered in muted colors,make a convincing ad for kfc including themes of anime. pop art. no words 4 k. guadosalam style. 8 k. trending on artstation. slightly exaggerated accents. stylized. studio noise. cartoon. rendered in muted colors
165,make a convincing ad for kfc including themes of anime and manga,"make a convincing ad for kfc including themes of anime and manga, trending on artstation"
166,make a convincing ad for kfc including themes of anime,"make a convincing ad for kfc including themes of anime, pop art, fisheye!!!!!!, nostalgic, warm halo, great composition, low angle, modernist composition, elegant, digital painting, artstation, unreal engine, octane render, concept art, matte, sharp focus, vibrant colors, hyperrealistic masterpiece, 8 k uhd"
167,make a convincing ad for kfc including themes of anime,"make a convincing ad for kfc including themes of anime, ufotable, grimdark, trending on artstation"
168,make a convincing ad for kfc including themes of marvel comics. detailed artwork,"make a convincing ad for kfc including themes of marvel comics. detailed artwork, historical. realistic. dramatic. trending on artstation. 8 k"
169,make a convincing ad for kfc including themes of marvel comics and elden ring by ilya kuvshinov and hirohiko araki and gainax,"make a convincing ad for kfc including themes of marvel comics and elden ring by ilya kuvshinov and hirohiko araki and gainax, trending on  a convincing ad for kfc including themes of marvel comics and tentaclegrass, by greg rutkowski and thomas kinkade, trending on artstation, dramatic lighting ethereal inks"
170,make a convincing ad for kfc including themes of marvel comics,"make a convincing ad for kfc including themes of marvel comics, ink drawing, illustartion, goala, india, cgsociety, siggraph, astonishing, amazing, gorgeous, much detail, much wow, masterpiece by dorian cleavanger and stanley lau and"
171,make a convincing ad for kfc including themes of dc comics,"make a convincing ad for kfc including themes of dc comics, and digital art illustration, by benoit b. mandelbrot, steven belledin, martin johnson heade, lee madgwick, caspar david friedrich, and david rios ferreira. 8 k resolution trending on artstation concept art digital illustration"
172,make a convincing ad for kfc including themes of dc comics,"make a convincing ad for kfc including themes of dc comics, city with donald trump and evil evil britney spears dressed as soldiers, 8 k resolution, digital painting, japanese animation, greg rutkowski very coherent, tsutomu nihei gustav klimt style, trending on artstation"
173,make a convincing ad for kfc including themes of dc comics,"make a convincing ad for kfc including themes of dc comics, high fantasy, intricate, elegant, digital painting, artstation, smooth, sharp focus, illustration, no duplicate, unreal engine, 4 k uhd image, art by artgerm and greg rutkowski and alphonse mucha"
174,make a convincing ad for kfc including themes of dc comics,"make a convincing ad for kfc including themes of dc comics, land of oz, and # american comic book by artgerm"
175,make a convincing ad for kfc including themes of superhero,"make a convincing ad for kfc including themes of superhero, horror, horror, gothic, lovecraftian, mystic, mysterious, dramatic lighting, high detail, 4 k, 8 k, best, accurate, trending on artstation, artstationhd, artstationhq, unreal engine, 4 k, 8 k"
176,make a convincing ad for kfc including themes of superhero,"make a convincing ad for kfc including themes of superhero, by ivan shishkin and greg rutkowski, photorealistic, dramatic contrast, trending on artstation, 8 k"
177,make a convincing ad for kfc including themes of superhero and villain,"make a convincing ad for kfc including themes of superhero and villain, epic fantasy, dramatic scene, cinematic, establishing shot, high detail, cinematic lighting, post processed, 8 k, concept art, artstation, matte painting, in the style of eddie mendoza, raphael lacoste, alex ross"
178,make a convincing ad for kfc including themes of superhero from borderlands and overwatch,"make a convincing ad for kfc including themes of superhero from borderlands and overwatch, trending on artstation - n 9"
179,make a convincing ad for kfc including themes of sunsets and dawn,"make a convincing ad for kfc including themes of sunsets and dawn, trending on artstation"
180,make a convincing ad for kfc including themes of sunsets and dawn,"make a convincing ad for kfc including themes of sunsets and dawn, artwork by Craig Mullins,Movie poster,concept art"
181,make a convincing ad for kfc including themes of sunsets and dawn,"make a convincing ad for kfc including themes of sunsets and dawn, art by bayard wu and greg rutkowski, masterpiece, award - winning photograph, historical"
182,make a convincing ad for kfc including themes of sunsets and dawn,"make a convincing ad for kfc including themes of sunsets and dawn, trending on artstation neighborhoods made out of candy made out of candy forest, rendered in unreal engine, highly detailed, fantasy, digital art, trending at artstation"
183,make a convincing ad for kfc including themes of moon,"make a convincing ad for kfc including themes of moon, rain, autumn and mountains, illustrated by greg rutkowski, cgsociety, artist interpretation, artstation, contemporary art, 4 k, 8 k, artstation digital, artstation horror, trending on behance, lovecraftian art style"
184,make a convincing ad for kfc including themes of moon,"make a convincing ad for kfc including themes of moon, jungle, lovecraftian, surrealism, crossbreed, blend of flowers and plants, by frederic edwin church, james gurney, james jean, takato yamamoto, huge scene, architecture, sprawl, hd, zootopia, insanely detailed and intricate, octane render, unreal engine, beautifully lit, dramatic dramatic lighting, digital art, sharp focus, hyperrealistic, 3 5 mm, intricate"
185,make a convincing ad for kfc including themes of moon,"make a convincing ad for kfc including themes of moon, demons, gothic, lovecraftian, mystic, mysterious, oil panting, high resolution, trending on artstation"
186,make a convincing ad for kfc including themes of moon burn and death and blood,"make a convincing ad for kfc including themes of moon burn and death and blood, big budget horror film by by venusian stanley artgerm lau, greg rutkowski, thomas kinkade, alphonse mucha, loish, norman"
187,make a convincing ad for kfc including themes of cinematic movies,"make a convincing ad for kfc including themes of cinematic movies, key visual, high fantasy, symbolism, thai characters, misty background, concept art, in the style of thomas kinkade and kiorgos tsolis and dan mumford and noah bradley, greg rutkowski, studio quality, smooth render, unreal engine 5 rendered, octane, rendered, art style and nixeu and wlop and krenz cushart"
188,make a convincing ad for kfc including themes of cinematic movies depicting the birth of the species of america. 8 k x the resolution will show the birth of a new species,"make a convincing ad for kfc including themes of cinematic movies depicting the birth of the species of america. 8 k x the resolution will show the birth of a new species, centered, at 6 a. m. eike, atvologue, magazine cover, concept art"
189,make a convincing ad for kfc including themes of cinematic movies,"make a convincing ad for kfc including themes of cinematic movies, horror, dramatic moody colors, dramatic scene, cinematic, highly detailed, great attention to perfect anatomy, special attention to posing, great finesse organic photoshop in the style of klimt and masamune shirow and kuvshinov, Intricate by Ellen Jewett and Josan Gonzalez and Giuseppe Arcimboldo"
190,make a convincing ad for kfc including themes of cinematic movies,"make a convincing ad for kfc including themes of cinematic movies, key art, promotional art, cleverly dressed for the film, 4 k detailed post, by wenjun lin, krenz cushart, pixiv. cinematic dramatic atmosphere, sharp focus, volumetric lighting, cinematic lighting, studio quality"
191,make a convincing ad for kfc including themes of kpop,"make a convincing ad for kfc including themes of kpop, pop art, country, cityscape, fisheye!!!!!! lens, german romanticism!!!!!!, vintage photograph, tudor country, star wars cinematography, mokoto shinkai, james gurney, photo, 8 k, hi - fructose art magazine, flying gear, fashion editorial,"
192,make a convincing ad for kfc including themes of kpop,"make a convincing ad for kfc including themes of kpop, pop art, horror, gothic, lovecraftian, cold hue's, warm tone gradient background, concept art, digital painting"
193,make a convincing ad for kfc including themes of kpop idol,"make a convincing ad for kfc including themes of kpop idol, sakimichan, with background legends, magic the gathering, dark art masterpiece artstation. 8 k, sharp high quality artwork in style of wayne reynolds, alphonse mucha, arthur adams, greg  a convincing ad for kfc including themes of kpop idol, pop art, india, oc commission, f 2 4, realistic shaded lighting, shot with 1 4 5 0 photographic acid pore detail, trending in artstation,"
194,make a convincing ad for h&m,"make a convincing ad for h&m, guillermo del toro. an iconic scene from the soviet steampunk film by Ridley Scott, steampunk, final fantasy, steampunk, cogs side equipment, and gears, detailed, angry eyes. dramatic ambient lighting, trending on artstation"
195,make a convincing ad for h&m,"make a convincing ad for h&m, hand drawn color screen print"
196,make a convincing ad for h&m. ; weekly shonen jump issue 1 4,"make a convincing ad for h&m. ; weekly shonen jump issue 1 4, cover, 2 0 0 0 clannad shuffle toheart event'anime pattern of illustration japanese very very beautiful cute girls doing cute things trending on artstation pixiv makoto shinkai smiling super detailed eyes eyebrowless symmetry face visual novel hairpin star"
197,make a convincing ad for h&m Advertising,"make a convincing ad for h&m Advertising, Inc. color photo taken in 7 0 mm, lens distortion, sharp focus,"
198,make a convincing ad for h&m as an axolotl chemist. by ilya kuvshinov,"make a convincing ad for h&m as an axolotl chemist. by ilya kuvshinov, krenz cushart, Greg Rutkowski, trending on  a convincing ad for h&m, reprints, hard copycatalog, backgroung through the rabbit hole with no duplicate images, old ripped, ripped, amateur, ripped, old ripped, low quality, old ripped, very graphic expressionist old artwork, old with texture, old with musical notes, old with texture, old with texture, also with hyperdetails, trending on 4kHQ, reagents with textures from youtube, old photos by yasutomo oka, photo by oliver valsecchi, by simon bisley"
199,make a convincing ad for h&m. : an intricate and extremely detailed hyperrealistic and hyper symmetrical 3 d photoart / vertical fractal wallpaper ( ultra - minimalistic ) / sculpture ( white angelic neon - monochrome minimalistic composition,"make a convincing ad for h&m. : an intricate and extremely detailed hyperrealistic and hyper symmetrical 3 d photoart / vertical fractal wallpaper ( ultra - minimalistic ) / sculpture ( white angelic neon - monochrome minimalistic composition, white cyborg clothes by andrew thomas huang, white minimalistic cat visuals concept by peter birkhauser and louis wain, and 3 d - seminude human sculpture by ron mueck ) of two handsome model gay boyfriends with stylized makeup as cat - clown - cyborg"
200,make a persuasive ad for h&m. ; or take a look ; do well ; etherich style. 8 k ; very detailed. front facing. masterpiece. dramatic angle ; sharp focus ; low angle ; ultra realistic style. realistic intricate details. highly detailed. trending on artstation ; hd ; 8 k,make a persuasive ad for h&m. ; or take a look ; do well ; etherich style. 8 k ; very detailed. front facing. masterpiece. dramatic angle ; sharp focus ; low angle ; ultra realistic style. realistic intricate details. highly detailed. trending on artstation ; hd ; 8 k
201,make a persuasive ad for h&m. detailed,"make a persuasive ad for h&m. detailed, marvelous designer, hand drawn, beautifull women adhering adhering by her guru, featured in artstation, cgsociety, Behance HD, 4k resolution, masterpiece work"
202,make a persuasive ad for h&m including themes of love,"make a persuasive ad for h&m including themes of love, doubt, and  a persuasive ad for h&m including themes of love, strife, love, and death, trending on artstation"
203,make a persuasive ad for h&m including themes of love,"make a persuasive ad for h&m including themes of love, hate, thriller, hate, and revenge.  prep highschool horror horror film still.  renaissance portrait painting by classic architecture master Ayami Kojima.  different colored with lots of exposure. Trending on artstation, deviantart, worth 1 0 0 0.  advertisement"
204,make a persuasive ad for h&m including themes of love,"make a persuasive ad for h&m including themes of love, strife, and death, trending on artstation"
205,make a persuasive ad for h&m including themes of family law and america,"make a persuasive ad for h&m including themes of family law and america, illustrated by edmund blair leighton and charlie bowater. trending on  a persuasive ad for h&m including themes of family law and love, detailed, high quality, extremely detailed, stylized, dramatic lighting, award winning, trending on artstation"
206,make a persuasive ad for h&m including themes of family,"make a persuasive ad for h&m including themes of family, home, court, and court records. Keywordly illustrated by Artgerm and Range  a persuasive ad for h&m including themes of family law, litigant Supreme court opinions on various angles, devices and buttons, an infographic by miyazaki illustrated by katsushika hokusai, a detailed matte painting by brian kesinger and thomas morbacher, ominous nighttime lighting, a detailed matte painting by daniel merriam, cgsociety, medieval dark fantasy, matte paint"
207,make a persuasive ad for h&m including themes of imagination creation,"make a persuasive ad for h&m including themes of imagination creation, fantasy, Bible Character Reference, illustrated, clear, crisp lines, clear facial features, clean lines, cell shaded, by Ruan Jia and Mandy Jurgens and William-Adolphe Bouguereau, Artgerm"
208,make a persuasive ad for h&m including themes of imagination creation and diffusion,"make a persuasive ad for h&m including themes of imagination creation and diffusion, wide angle, vertical orientation, black frame : 5 with fine subtle touches of color, golden ratio illustration"
209,make a persuasive ad for h&m including themes of imagination creation and diffusion,"make a persuasive ad for h&m including themes of imagination creation and diffusion, detailed, concept art illustration, corporate photo, filmed in 7 0 mm, volumetric lighting, set in california, alex flores, greg rutkowski, 8 k"
210,make a persuasive ad for h&m including themes of imagination creation and the supernatural occult,"make a persuasive ad for h&m including themes of imagination creation and the supernatural occult, by reading through various reference books, illustrated variouswise, by coven suydam and anton semenov olaf and ralph mcquarrie and greg rutkowski, hyperrealism, fantastic realism, sharp focus, volumetric lighting, colossal silence, extremely detailed pencil illustration, cartoon, concept art, cinematographic, photorealistic, epic fantasy, 1 6 k resolution, intricate details, award winning, cgsociety, hd, full color"
211,make a persuasive ad for h&m including themes of scarcity,"make a persuasive ad for h&m including themes of scarcity, doubt, and wind up"
212,make a persuasive ad for h&m including themes of scarcity and entropy in an authentic informational piece: [ click thumbnail thumbnail thumbnail thumbnail rule of thirds golden ratio!!!!!],make a persuasive ad for h&m including themes of scarcity and entropy in an authentic informational piece: [ click thumbnail thumbnail thumbnail thumbnail rule of thirds golden ratio!!!!!]
213,make a persuasive ad for h&m including themes of scarcity & mist,"make a persuasive ad for h&m including themes of scarcity & mist, symmetrically framed, illustrated with dynamic art byZXL specialists, intricately detailed, beautifully detailed, dramatic lighting, rule of thirds, beautifully lit, hyperrealistic, 8k HDR, octane render, trending on artstation, volumetric lighting, style of 3 dimensional render, space in background, twinkling stars, small details, extra detail, professional photo, studio lighting"
214,make a persuasive ad for h&m including themes of scarcity,"make a persuasive ad for h&m including themes of scarcity,oppressed,oppressed,oppressed,margaret thatcher,oppressed,margaret thatcher faced with an endless series of pebbles while she prays,in the style ofmargaret thatcher: 1. answear it not? 2. it be no tractable; seek ye; for tine ye; for what? and what ye do? intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha"
215,make a persuasive ad for h&m including themes of thirst and fatigue in the ad,"make a persuasive ad for h&m including themes of thirst and fatigue in the ad, historical illustration, biblical, dramatic, award winning, historical!!!, trending on artstation,…"
216,make a persuasive ad for h&m including themes of thirst and fatigue in the rendering of an fictitious historical story mba art and fantasy in the format of the Society of Jesus Christ Superstar,"make a persuasive ad for h&m including themes of thirst and fatigue in the rendering of an fictitious historical story mba art and fantasy in the format of the Society of Jesus Christ Superstar, presented in Paris by the Kropotkin Society, Ilya Repin, Edward Hopper, Ilya Kuvshinov. 3D shadowing"
217,make a persuasive ad for h&m including themes of thirst,"make a persuasive ad for h&m including themes of thirst, strife, and strife. ; average man consumes himself by attending to his master; master controls his power, trending on artstation, best selling artist"
218,make a persuasive ad for h&m including themes of thirst,"make a persuasive ad for h&m including themes of thirst, rage, disillusion, and madness"
219,make a persuasive ad for h&m including themes of coolness and hors dames,"make a persuasive ad for h&m including themes of coolness and hors dames, key art by Dave Gibbons, trending on artstation : 1. 5, sweet joy harmony color scheme, 1 9 3 0 s style golden ratio, detail ink illustration rule of thirds golden ratio, fake detail, trending pixiv fanbox, acrylic palette knife, style of makoto shinkai studio ghibli genshin impact jamie wyeth james gilleard greg rutkowski chiho aoshima"
220,make a persuasive ad for h&m including themes of coolness and horseshoe crab,"make a persuasive ad for h&m including themes of coolness and horseshoe crab, numbers 6 and 7, by Dave LaChapelle and John Singer Sargent and Kenne Gregoire, trending on artstation"
